Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
TRG 20,PLC و Backplan,8,تنظيف الBackplan و كارتات الPLC,200,240,1 Elect,52,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 21 (RM30),ترامل البانل و المواتير,1,إعادة الربط على جميع ترامل البانل و المواتير,130,120,1 Elect,52,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 21 (RM30),الكونتكترات,2,الكشف على الكونتكترات,160,60,1 Elect,26,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 21 (RM30),البانل,3,تنظيف البانل,140,45,1 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRG 21 (RM30),تكييف البانل,4,التاكد من عمل تكيف البانل,150,10,1 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRG 21 (RM30),السفتي,5,الكشف على السفتي,170,25,2 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRG 21 (RM30),الفوتوسيل,6,تنظيف و تاكيد تثبيت الفوتوسيل,180,30,1 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRG 21 (RM30),الليميتات و البروكسيمتي,7,تنظيف و تاكيد تثبيت الليمتات و البروكسيمتى,190,20,2 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRG 21 (RM30),PLC و Backplan,8,تنظيف الBackplan و كارتات الPLC,200,240,1 Elect,52,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRGC 22,ترامل البانل و المواتير,1,إعادة الربط على جميع ترامل البانل و المواتير,130,120,1 Elect,52,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRGC 22,الكونتكترات,2,الكشف على الكونتكترات,160,60,1 Elect,26,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
TRGC 22,البانل,3,تنظيف البانل,140,45,1 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRGC 22,تكييف البانل,4,التاكد من عمل تكيف البانل,150,10,1 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRGC 22,السفتي,5,الكشف على السفتي,170,25,2 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRGC 22,الفوتوسيل,6,تنظيف و تاكيد تثبيت الفوتوسيل,180,30,1 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRGC 22,الليميتات و البروكسيمتي,7,تنظيف و تاكيد تثبيت الليمتات و البروكسيمتى,190,20,2 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRGC 22,PLC و Backplan,8,تنظيف الBackplan و كارتات الPLC,200,240,1 Elect,52,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRGC 23,ترامل البانل و المواتير,1,إعادة الربط على جميع ترامل البانل و المواتير,130,120,1 Elect,52,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRGC 23,الكونتكترات,2,الكشف على الكونتكترات,160,60,1 Elect,26,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
TRGC 23,البانل,3,تنظيف البانل,140,45,1 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRGC 23,تكييف البانل,4,التاكد من عمل تكيف البانل,150,10,1 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
TRGC 23,السفتي,5,الكشف على السفتي,170,25,2 Elect,4,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,
